,Route,To,From,Distance
381,B,231,619,0.007445018535909929
382,B,26,231,0.030096984317364985
383,B,617,26,0.00790411165154766
384,B,41,617,0.008681337972906189
385,B,42,41,0.0184581888873281
386,B,44,42,0.011111402476731857
387,B,47,44,0.015446156350367165
388,B,51,47,0.026892140580475503
389,B,54,51,0.02206618038990984
390,B,55,54,0.011754508326598011
391,D,211,210,0.008429921589202404
392,D,212,211,0.008936016841960086
393,D,213,212,0.007089620864340141
394,D,214,213,0.006001939103320556
395,D,215,214,0.007240213049355254
396,D,216,215,0.0066662118928177486
397,D,217,216,0.0073576172773532214
398,D,218,217,0.007485841636055531
399,D,604,218,0.009295616009708168
400,D,220,604,0.012754460553075171
401,D,151,220,0.008045368419153142
402,D,153,151,0.015906803732996657
403,D,614,153,0.051931699548543014
404,D,277,614,0.00543490174704288
405,D,225,277,0.004210280869490908
406,D,609,225,0.005497279418034081
407,D,607,609,0.0055556750264919505
408,D,167,607,0.021509968503004417
409,D,619,167,0.008245505563637085
410,D,231,619,0.007445018535909929
411,D,617,231,0.03768981891705261
412,D,32,617,0.037756093614138224
413,D,59,32,0.012785090105268357
414,D,60,59,0.005378037188410596
415,D,61,60,0.004679410753505903
416,D,62,61,0.004873381782707319
417,D,615,62,0.005161872722177581
418,D,64,615,0.007159095613269833
419,D,65,64,0.006333424034442667
420,D,66,65,0.005660131182225202
421,D,67,66,0.004927172414264461
422,D,68,67,0.005186652195784446
423,D,69,68,0.008061851028148171
424,D,70,69,0.009377679083870386
425,D,58,70,0.011696349216742953
426,E,279,278,0.007058223643385009
427,E,280,279,0.009130087622793562
428,E,258,280,0.007585050691987364
429,E,259,258,0.01168576056575245
430,E,260,259,0.007417813424450963
431,E,261,260,0.007942695323382152
432,E,616,261,0.0530517077764758
433,E,273,616,0.045964043185955886
434,E,606,273,0.008829222955605589
435,E,612,606,0.025014784848178335
436,E,276,612,0.006700357154643258
437,E,277,276,0.006956262933510476
438,E,162,277,0.004365918574591234
439,E,611,162,0.006369607915714966
440,E,164,611,0.006211020608566725
441,E,165,164,0.00789554690949531
442,E,618,165,0.006200433049388635
443,E,167,618,0.008638058230876315
444,E,168,167,0.006918660058127796
445,E,169,168,0.0056046863426979015
446,E,624,169,0.009415480232047682
447,F,255,254,0.010025983492907332
448,F,256,255,0.010147025179822326
449,F,257,256,0.007675984627388428
450,F,258,257,0.010543667151426732
451,F,259,258,0.01168576056575245
452,F,260,259,0.007417813424450963
453,F,261,260,0.007942695323382152
454,F,616,261,0.0530517077764758
455,F,221,616,0.052049807732589264
456,F,222,221,0.011536166607673749
457,F,223,222,0.013974042543234538
458,F,224,223,0.011356021222239249
459,F,225,224,0.006575113839314844
460,F,609,225,0.005497279418034081
461,F,607,609,0.0055556750264919505
462,F,228,607,0.008472265635585757
463,F,601,228,0.005753350675915302
464,F,167,601,0.007284359683601209
465,F,619,167,0.008245505563637085
466,F,232,619,0.00654627993597322
467,F,625,232,0.0051264663268219554
468,F,234,625,0.0053113366490896985
469,F,235,234,0.012784490916732488
470,F,636,235,0.009078257652215583
471,F,236,636,0.007123457657620643
472,F,237,236,0.007186901975124605
473,F,238,237,0.006784441760382076
